user_id,priority,performance
user0,0,-2.68
user0,1,-0.6357142857142856
user0,2,-3.7510000000000003
user0,3,-3.467777777777778
user0,4,-3.765
user1,0,-2.6816666666666666
user1,1,-2.60625
user1,2,-2.05
user1,3,-3.4159999999999995
user1,4,-1.2925
user10,0,-2.4499999999999993
user10,1,-2.015714285714286
user10,2,-3.2914285714285714
user10,3,-0.7666666666666666
user10,4,-1.7566666666666666
user100,0,-3.28
user100,1,-1.8875
user100,2,-6.615555555555556
user100,3,-2.555
user100,4,0.0
user101,0,-0.41
user101,1,-4.354
user101,2,-4.164
user101,3,-4.27
user101,4,-1.1333333333333333
user102,0,-1.82
user102,1,-3.44
user102,2,-3.6455555555555557
user102,3,-3.488888888888889
user102,4,0.0
user103,0,-1.8299999999999998
user103,1,-1.7700000000000002
user103,2,-4.735714285714287
user103,3,-4.28125
user103,4,-3.496
user104,0,-0.4766666666666666
user104,1,-1.85875
user104,2,-3.46
user104,3,-2.0378571428571433
user104,4,-6.015
user105,0,-1.36
user105,1,-2.7790000000000004
user105,2,-2.9059999999999997
user105,3,-2.5799999999999996
user105,4,-0.79
user106,0,0.49
user106,1,-5.681111111111111
user106,2,-1.1912499999999997
user106,3,-0.8057142857142857
user106,4,-1.6900000000000002
user107,0,-0.135
user107,1,-4.002222222222223
user107,2,-2.9457142857142853
user107,3,-3.419285714285714
user107,4,-9.2
user108,0,-7.9
user108,1,-3.0471428571428576
user108,2,-4.546875
user108,3,-3.5439999999999996
user108,4,-2.4
user109,0,-1.7225
user109,1,-3.796666666666667
user109,2,-3.8009999999999997
user109,3,-3.554615384615384
user109,4,-1.696666666666667
user11,0,-3.46
user11,1,-4.183333333333334
user11,2,-3.2783333333333338
user11,3,-0.54625
user11,4,-3.8
user110,0,-0.66
user110,1,-2.9210000000000003
user110,2,-3.3150000000000004
user110,3,-1.53
user110,4,-1.125
user111,0,-5.976666666666667
user111,1,-3.03625
user111,2,-2.3693750000000002
user111,3,-2.1871428571428573
user111,4,-12.995000000000001
user112,0,-0.05
user112,1,-5.3933333333333335
user112,2,-4.555384615384615
user112,3,-2.463333333333333
user112,4,-14.25
user113,0,-13.92
user113,1,-2.4050000000000002
user113,2,-2.4655555555555555
user113,3,-3.6149999999999998
user113,4,-4.586666666666667
user114,0,-1.6366666666666667
user114,1,-5.576666666666667
user114,2,-2.2928571428571423
user114,3,-5.155555555555556
user114,4,-3.585
user115,0,-10.792499999999999
user115,1,-5.0600000000000005
user115,2,-1.7644444444444447
user115,3,-3.744285714285714
user115,4,-1.0575
user116,0,-8.58
user116,1,-3.1130000000000004
user116,2,-4.786666666666666
user116,3,-4.1866666666666665
user116,4,-1.775
user117,0,-2.5982190476190477
user117,1,-1.6179999999999999
user117,2,-1.3616666666666666
user117,3,-2.9514285714285715
user117,4,-7.0600000000000005
user118,0,-0.2
user118,1,-3.5460000000000003
user118,2,-1.3790909090909091
user118,3,-4.928
user118,4,-0.59
user119,0,-4.784999999999999
user119,1,-4.6475
user119,2,-3.5244444444444443
user119,3,-4.253
user119,4,-3.441988888888889
user12,0,-8.296666666666669
user12,1,-4.048571428571428
user12,2,-3.1042857142857136
user12,3,-2.698
user12,4,0.0
user120,0,-3.6
user120,1,-1.8200000000000003
user120,2,-2.3546153846153848
user120,3,-3.518571428571429
user120,4,-0.6749999999999999
user121,0,-0.91
user121,1,-1.0650000000000002
user121,2,-6.00625
user121,3,-3.8225000000000002
user121,4,0.0
user122,0,-3.560716666666667
user122,1,-3.4850000000000003
user122,2,-1.11625
user122,3,-4.427333333333334
user122,4,-8.775
user123,0,-4.97
user123,1,-3.7689999999999997
user123,2,-4.07764705882353
user123,3,-0.741111111111111
user123,4,-11.700000000000001
user124,0,-2.0
user124,1,-1.8425
user124,2,-3.797272727272727
user124,3,-1.57125
user124,4,-2.6425
user125,0,-0.675
user125,1,-3.12875
user125,2,-3.7214285714285715
user125,3,-3.083636363636364
user125,4,-2.6399999999999997
user126,0,-2.25
user126,1,-5.890000000000001
user126,2,-0.9960000000000001
user126,3,-1.2512500000000002
user126,4,-1.2266666666666666
user127,0,-9.21
user127,1,-4.314285714285715
user127,2,-1.6214285714285717
user127,3,-2.2866666666666666
user127,4,0.35
user128,0,-1.4185714285714286
user128,1,-5.636666666666667
user128,2,-3.494375
user128,3,-2.378
user128,4,-2.54
user129,0,-0.47333333333333333
user129,1,-5.598333333333334
user129,2,-4.457777777777778
user129,3,-3.503
user129,4,-2.4166666666666665
user13,0,-4.23
user13,1,-3.12
user13,2,-4.650476190476191
user13,3,-4.282500000000001
user13,4,-7.256666666666665
user130,0,-10.37
user130,1,-2.25
user130,2,-8.304545454545455
user130,3,-3.6875
user130,4,-4.92240909090909
user131,0,-2.04
user131,1,-1.845
user131,2,-3.6411111111111105
user131,3,-3.45
